frame,qr,esquina,x,y
46,80,left_bottom,136,697
46,80,right_top,182,734
46,80,right_bottom,182,691
47,80,left_top,138,748
47,80,left_bottom,137,703
47,80,right_top,183,740
47,80,right_bottom,183,696
47,71,left_top,59,639
47,71,left_bottom,61,591
47,71,right_top,112,633
47,71,right_bottom,114,587
47,80,left_top,138,748
47,80,left_bottom,137,703
47,80,right_top,183,740
47,80,right_bottom,183,696
48,80,left_top,140,753
48,80,left_bottom,140,708
48,80,right_top,186,746
48,80,right_bottom,186,701
48,80,left_top,140,753
48,80,left_bottom,140,708
48,80,right_top,186,746
48,80,right_bottom,186,701
49,80,left_top,142,756
49,80,left_bottom,141,711
49,80,right_top,188,749
49,80,right_bottom,188,704
49,80,left_top,142,756
49,80,left_bottom,141,711
49,80,right_top,188,749
49,80,right_bottom,188,704
50,71,left_top,63,646
50,71,left_bottom,64,598
50,71,right_top,116,642
50,71,right_bottom,119,595
51,80,left_top,143,759
51,80,left_bottom,142,715
51,80,right_top,189,753
51,80,right_bottom,190,709
51,71,left_top,62,648
51,71,left_bottom,63,600
51,71,right_top,115,644
51,71,right_bottom,118,597
51,80,left_top,143,759
51,80,left_bottom,142,715
51,80,right_top,189,753
51,80,right_bottom,190,709
52,71,left_top,58,653
52,71,left_bottom,59,605
52,71,right_top,111,648
52,71,right_bottom,114,602
53,80,left_top,136,769
53,80,left_bottom,136,723
53,80,right_top,184,763
53,80,right_bottom,184,718
53,80,left_top,136,769
53,80,left_bottom,136,723
53,80,right_top,184,763
53,80,right_bottom,184,718
54,71,left_top,51,660
54,71,left_bottom,52,612
54,71,right_top,105,655
54,71,right_bottom,108,608
55,71,left_top,49,663
55,71,left_bottom,50,614
55,71,right_top,103,658
55,71,right_bottom,105,611
56,71,left_top,49,663
56,71,left_bottom,49,615
56,71,right_top,103,658
56,71,right_bottom,104,611
57,71,left_top,49,658
57,71,left_bottom,49,610
57,71,right_top,104,654
57,71,right_bottom,105,607
58,80,left_top,133,766
58,80,left_bottom,132,721
58,80,right_top,181,760
58,80,right_bottom,181,715
58,71,left_top,45,655
58,71,left_bottom,44,607
58,71,right_top,100,650
58,71,right_bottom,101,603
58,80,left_top,133,766
58,80,left_bottom,132,721
58,80,right_top,181,760
58,80,right_bottom,181,715
59,71,left_top,39,656
59,71,left_bottom,37,608
59,71,right_top,93,651
59,71,right_bottom,93,605
60,80,left_top,122,765
60,80,left_bottom,120,721
60,80,right_top,170,760
60,80,right_bottom,170,715
60,71,left_top,33,654
60,71,left_bottom,30,607
60,71,right_top,87,650
60,71,right_bottom,87,603
60,80,left_top,122,765
60,80,left_bottom,120,721
60,80,right_top,170,760
60,80,right_bottom,170,715
61,80,left_top,123,759
61,80,left_bottom,121,714
61,80,right_top,172,753
61,80,right_bottom,170,709
61,71,left_top,33,648
61,71,left_bottom,31,600
61,71,right_top,88,643
61,71,right_bottom,87,597
61,80,left_top,123,759
61,80,left_bottom,121,714
61,80,right_top,172,753
61,80,right_bottom,170,709
62,80,left_top,126,751
62,80,left_bottom,123,706
62,80,right_top,174,745
62,80,right_bottom,172,700
62,71,left_top,35,639
62,71,left_bottom,31,592
62,71,right_top,89,635
62,71,right_bottom,88,589
62,80,left_top,126,751
62,80,left_bottom,123,706
62,80,right_top,174,745
62,80,right_bottom,172,700
63,80,left_top,129,740
63,80,left_bottom,127,695
63,80,right_top,177,735
63,80,right_bottom,175,690
63,71,left_top,38,629
63,71,left_bottom,34,581
63,71,right_top,92,625
63,71,right_bottom,90,578
63,80,left_top,129,740
63,80,left_bottom,127,695
63,80,right_top,177,735
63,80,right_bottom,175,690
64,80,left_top,139,730
64,80,left_bottom,136,685
64,80,right_top,186,725
64,80,right_bottom,184,680
64,71,left_top,47,619
64,71,left_bottom,43,572
64,71,right_top,100,615
64,71,right_bottom,98,569
64,80,left_top,139,730
64,80,left_bottom,136,685
64,80,right_top,186,725
64,80,right_bottom,184,680
65,80,left_top,146,723
65,80,left_bottom,143,679
65,80,right_top,194,718
65,80,right_bottom,191,674
65,80,left_top,146,723
65,80,left_bottom,143,679
65,80,right_top,194,718
65,80,right_bottom,191,674
68,71,left_top,79,589
68,71,left_bottom,76,542
68,71,right_top,132,585
68,71,right_bottom,129,540
69,127,left_top,486,567
69,127,left_bottom,488,518
69,127,right_top,535,574
69,127,right_bottom,538,524
69,71,left_top,90,582
69,71,left_bottom,87,536
69,71,right_top,143,579
69,71,right_bottom,140,533
69,127,left_top,486,567
69,127,left_bottom,488,518
69,127,right_top,535,574
69,127,right_bottom,538,524
70,127,left_top,492,566
70,127,left_bottom,494,517
70,127,right_top,541,573
70,127,right_bottom,544,523
70,71,left_top,97,580
70,71,left_bottom,93,534
70,71,right_top,149,577
70,71,right_bottom,146,531
70,127,left_top,492,566
70,127,left_bottom,494,517
70,127,right_top,541,573
70,127,right_bottom,544,523
71,127,left_top,496,567
71,127,left_bottom,498,518
71,127,right_top,545,575
71,127,right_bottom,548,524
71,71,left_top,103,580
71,71,left_bottom,100,535
71,71,right_top,155,578
71,71,right_bottom,152,532
71,127,left_top,496,567
71,127,left_bottom,498,518
71,127,right_top,545,575
71,127,right_bottom,548,524
72,127,left_top,500,571
72,127,left_bottom,503,522
72,127,right_top,550,579
