frame,qr,esquina,x,y
5,131,right_top,341,689
5,131,right_bottom,341,648
5,138,left_top,171,635
5,138,left_bottom,165,588
5,138,right_top,207,621
5,138,right_bottom,203,575
6,79,left_top,24,626
6,79,left_bottom,24,573
6,79,right_top,60,609
6,79,right_bottom,60,558
6,122,left_top,91,656
6,122,left_bottom,85,608
6,122,right_top,136,642
6,122,right_bottom,130,594
6,82,left_top,48,819
6,82,left_bottom,38,771
6,82,right_top,82,795
6,82,right_bottom,73,749
6,124,left_top,107,773
6,124,left_bottom,100,728
6,124,right_top,150,755
6,124,right_bottom,143,712
6,77,left_top,35,984
6,77,left_bottom,16,937
6,77,right_top,70,949
6,77,right_bottom,51,904
6,99,left_top,215,490
6,99,left_bottom,213,442
6,99,right_top,258,485
6,99,right_bottom,257,437
6,131,left_top,294,697
6,131,left_bottom,294,656
6,131,right_top,336,694
6,131,right_bottom,335,653
6,101,left_top,222,607
6,101,left_bottom,218,562
6,101,right_top,262,598
6,101,right_bottom,260,554
7,121,left_top,77,597
7,121,left_bottom,72,547
7,121,right_top,121,584
7,121,right_bottom,117,535
7,140,left_top,143,520
7,140,left_bottom,138,469
7,140,right_top,185,511
7,140,right_bottom,181,463
7,80,left_top,21,696
7,80,left_bottom,15,644
7,80,right_top,60,676
7,80,right_bottom,54,627
7,125,left_top,110,829
7,125,left_bottom,102,788
7,125,right_top,152,811
7,125,right_bottom,145,770
7,124,left_top,101,775
7,124,left_bottom,93,730
7,124,right_top,144,758
7,124,right_bottom,137,714
7,99,left_top,208,494
7,99,left_bottom,207,446
7,99,right_top,252,488
7,99,right_bottom,251,441
7,131,left_top,288,700
7,131,left_bottom,287,659
7,131,right_top,330,697
7,131,right_bottom,330,656
7,106,left_top,523,501
7,106,left_bottom,524,458
7,106,right_top,569,501
7,106,right_bottom,572,459
7,108,left_top,518,606
7,108,left_bottom,519,564
7,108,right_top,561,605
7,108,right_bottom,564,564
8,79,left_top,9,631
8,79,left_bottom,9,578
8,79,right_top,47,614
8,79,right_bottom,46,564
8,120,left_top,64,534
8,120,left_bottom,58,482
8,120,right_top,110,524
8,120,right_bottom,105,472
8,123,left_top,85,719
8,123,left_bottom,79,674
8,123,right_top,130,704
8,123,right_bottom,125,659
8,99,left_top,203,496
8,99,left_bottom,202,449
8,99,right_top,247,491
8,99,right_bottom,245,444
8,101,left_top,211,612
8,101,left_bottom,207,568
8,101,right_top,251,604
8,101,right_bottom,249,561
8,100,left_top,206,555
8,100,left_bottom,204,510
8,100,right_top,249,548
8,100,right_bottom,247,504
8,132,left_top,284,753
8,132,left_bottom,284,714
8,132,right_top,326,750
8,132,right_bottom,326,711
8,108,left_top,513,609
8,108,left_bottom,514,568
8,108,right_top,557,609
8,108,right_bottom,559,568
9,79,left_top,4,631
9,79,left_bottom,3,579
9,79,right_top,43,615
9,79,right_bottom,42,565
9,121,left_top,67,600
9,121,left_bottom,62,551
9,121,right_top,112,588
9,121,right_bottom,108,540
9,140,left_top,134,525
9,140,left_bottom,129,475
9,140,right_top,177,516
9,140,right_bottom,172,468
9,120,left_top,60,536
9,120,left_bottom,54,484
9,120,right_top,106,526
9,120,right_bottom,102,475
9,80,left_top,10,697
9,80,left_bottom,4,646
9,80,right_top,49,679
9,80,right_bottom,44,630
9,124,left_top,90,776
9,124,left_bottom,83,733
9,124,right_top,134,760
9,124,right_bottom,127,717
9,123,left_top,81,720
9,123,left_bottom,75,675
9,123,right_top,126,705
9,123,right_bottom,121,661
9,99,left_top,200,500
9,99,left_bottom,198,452
9,99,right_top,244,494
9,99,right_bottom,242,447
9,126,left_top,112,886
9,126,left_bottom,101,843
9,126,right_top,154,867
9,126,right_bottom,143,825
9,107,left_top,511,560
9,107,left_bottom,513,521
9,107,right_top,556,561
9,107,right_bottom,559,522
10,121,left_top,64,601
10,121,left_bottom,58,553
10,121,right_top,108,589
10,121,right_bottom,104,542
10,120,left_top,57,538
10,120,left_bottom,50,486
10,120,right_top,103,528
10,120,right_bottom,98,477
10,80,left_top,4,698
10,80,left_bottom,0,647
10,80,right_top,45,680
10,80,right_bottom,40,631
10,124,left_top,86,777
10,124,left_bottom,80,733
10,124,right_top,130,761
10,124,right_bottom,124,718
10,123,left_top,77,720
10,123,left_bottom,71,676
10,123,right_top,122,706
10,123,right_bottom,117,662
10,99,left_top,197,502
10,99,left_bottom,196,455
10,99,right_top,241,496
10,99,right_bottom,240,450
10,140,left_top,131,527
10,140,left_bottom,126,477
10,140,right_top,174,518
10,140,right_bottom,168,471
10,106,left_top,511,512
10,106,left_bottom,512,470
10,106,right_top,558,513
10,106,right_bottom,560,470
11,99,left_top,194,505
11,99,left_bottom,192,459
11,99,right_top,238,501
11,99,right_bottom,237,454
11,100,left_top,196,564
11,100,left_bottom,195,519
11,100,right_top,240,557
11,100,right_bottom,239,513
11,139,left_top,134,591
11,139,left_bottom,128,544
11,139,right_top,174,581
11,139,right_bottom,172,534
11,121,left_top,59,605
11,121,left_bottom,54,556
11,121,right_top,104,592
11,121,right_bottom,100,546
11,120,left_top,52,542
11,120,left_bottom,46,490
11,120,right_top,99,531
11,120,right_bottom,94,481
11,82,left_top,18,823
11,82,left_bottom,9,776
11,82,right_top,55,800
11,82,right_bottom,47,755
11,125,left_top,91,833
11,125,left_bottom,84,792
11,125,right_top,134,817
11,125,right_bottom,128,775
11,138,left_top,141,650
11,138,left_bottom,136,605
11,138,right_top,179,637
11,138,right_bottom,175,593
11,106,left_top,507,517
11,106,left_bottom,509,474
11,106,right_top,554,518
11,106,right_bottom,557,475
12,99,left_top,193,510
12,99,left_bottom,191,463
12,99,right_top,236,505
12,99,right_bottom,235,459
12,140,left_top,125,534
12,140,left_bottom,120,485
12,140,right_top,168,526
12,140,right_bottom,165,479
12,120,left_top,51,545
12,120,left_bottom,45,493
12,120,right_top,97,535
12,120,right_bottom,92,485
12,139,left_top,132,594
12,139,left_bottom,127,548
12,139,right_top,173,584
12,139,right_bottom,169,540
12,82,left_top,15,824
12,82,left_bottom,6,777
12,82,right_top,52,801
12,82,right_bottom,44,757
12,125,left_top,88,835
12,125,left_bottom,82,794
12,125,right_top,132,819
12,125,right_bottom,126,778
12,100,left_top,196,568
12,100,left_bottom,193,523
12,100,right_top,238,561
12,100,right_bottom,237,518
12,116,left_top,428,673
12,116,left_bottom,429,633
12,116,right_top,471,676
12,116,right_bottom,472,636
12,106,left_top,505,523
12,106,left_bottom,506,480
12,106,right_top,552,524
12,106,right_bottom,554,481
13,99,left_top,193,512
13,99,left_bottom,191,466
13,99,right_top,237,507
13,99,right_bottom,235,461
13,121,left_top,57,607
13,121,left_bottom,52,560
13,121,right_top,102,597
13,121,right_bottom,98,550
13,100,left_top,196,570
13,100,left_bottom,193,525
13,100,right_top,239,563
13,100,right_bottom,238,520
13,120,left_top,50,546
13,120,left_bottom,44,495
13,120,right_top,97,536
13,120,right_bottom,92,487
13,140,left_top,125,536
13,140,left_bottom,120,487
13,140,right_top,168,528
13,140,right_bottom,165,481
13,123,left_top,71,724
13,123,left_bottom,64,681
13,123,right_top,115,712
13,123,right_bottom,111,669
13,106,left_top,504,527
13,106,left_bottom,505,484
13,106,right_top,551,528
13,106,right_bottom,553,485
13,115,left_top,429,625
13,115,left_bottom,430,585
13,115,right_top,472,628
13,115,right_bottom,474,586
14,99,left_top,195,513
14,99,left_bottom,193,468
14,99,right_top,239,509
14,99,right_bottom,238,463
14,120,left_top,53,547
14,120,left_bottom,47,497
14,120,right_top,99,538
14,120,right_bottom,95,489
14,123,left_top,73,725
14,123,left_bottom,67,681
14,123,right_top,118,712
14,123,right_bottom,113,669
14,138,left_top,141,655
14,138,left_bottom,136,610
14,138,right_top,180,643
14,138,right_bottom,176,599
14,122,left_top,65,668
14,122,left_bottom,60,622
14,122,right_top,112,657
14,122,right_bottom,107,611
14,125,left_top,91,834
14,125,left_bottom,83,793
14,125,right_top,133,819
14,125,right_bottom,127,778
14,114,left_top,433,574
14,114,left_bottom,434,536
14,114,right_top,477,577
14,114,right_bottom,479,537
14,107,left_top,505,580
14,107,left_bottom,506,541
14,107,right_top,550,583
14,107,right_bottom,552,543
15,120,left_top,59,550
15,120,left_bottom,53,500
15,120,right_top,105,541
15,120,right_bottom,101,493
15,123,left_top,77,726
15,123,left_bottom,73,682
15,123,right_top,123,714
15,123,right_bottom,119,671
15,122,left_top,71,669
